@relation data

@attribute client {'Janet Leverling','Margaret Peacock','Nancy Davolio','Andrew Fuller','Robert King','Laura Callahan'}
@attribute pays {Germany,Mexico,Brazil,UK,France,USA,Venezuela,Belgium,Sweden,Spain,Canada,Austria,Italy,Portugal,Norway,Denmark,Finland,Switzerland,Ireland,Argentina,Poland}
@attribute quantite numeric
@attribute total numeric
@attribute class {GOOD_CLIENT,BAD_CLIENT}

@data
'Janet Leverling',Germany,110,3596.4,GOOD_CLIENT
'Janet Leverling',Mexico,28,799.75,GOOD_CLIENT
'Margaret Peacock',Brazil,70,1613,GOOD_CLIENT
'Nancy Davolio',Brazil,281,8205.23,GOOD_CLIENT
'Nancy Davolio',UK,155,4514.35,GOOD_CLIENT
'Andrew Fuller',France,277,7465.8,GOOD_CLIENT
'Nancy Davolio',Mexico,295,6452.15,GOOD_CLIENT
'Andrew Fuller',Brazil,262,3344.9,BAD_CLIENT
'Janet Leverling',USA,117,2972.5,GOOD_CLIENT
'Nancy Davolio',Brazil,205,3660.03,BAD_CLIENT
'Nancy Davolio',France,32,920.1,GOOD_CLIENT
'Nancy Davolio',Venezuela,323,5953.6,BAD_CLIENT
'Nancy Davolio',Venezuela,650,14026.18,GOOD_CLIENT
'Margaret Peacock',Belgium,161,5684,GOOD_CLIENT
'Nancy Davolio',Sweden,481,14533.2,GOOD_CLIENT
'Andrew Fuller',France,3,52.35,BAD_CLIENT
'Janet Leverling',Spain,17,493.2,GOOD_CLIENT
'Andrew Fuller',UK,54,787.6,BAD_CLIENT
'Janet Leverling',Canada,454,8547.5,BAD_CLIENT
'Nancy Davolio',Venezuela,477,7803.95,BAD_CLIENT
'Nancy Davolio',USA,55,1837.2,GOOD_CLIENT
'Janet Leverling',France,348,8371.8,GOOD_CLIENT
'Andrew Fuller',Austria,397,9684.6,GOOD_CLIENT
'Andrew Fuller',Italy,270,4995.65,BAD_CLIENT
'Andrew Fuller',Mexico,118,2065.4,BAD_CLIENT
'Janet Leverling',Germany,68,1079.8,BAD_CLIENT
